PERSON_ID,FORMIDLINGSGRUPPEKODE,DATO_SIST_INAKTIV
1342434,ISERV,2005-01-25
221495,ISERV,2002-12-20
167432,ISERV,2004-05-15
352902,ISERV,2004-05-15
499651,ISERV,2004-05-15
790936,ISERV,2004-05-15
857386,ISERV,2004-05-15
910778,ISERV,2004-05-15
810328,ISERV,2004-05-15
1170056,ISERV,2004-05-15
1184814,ISERV,2004-05-15
1244258,ISERV,2004-05-15
101540,ISERV,2004-05-15
202187,ISERV,2004-05-15
273026,ISERV,2004-05-15
298145,ISERV,2004-05-15
437531,ISERV,2004-05-15
444352,ISERV,2004-05-15
528939,ISERV,2004-05-15
728517,ISERV,2004-05-15
790350,ISERV,2004-05-15
884438,ISERV,2004-05-15
1018192,ISERV,2004-05-15
1221728,ISERV,2004-05-15
1230158,ISERV,2004-05-15
1242223,ISERV,2004-05-15
1308826,ISERV,2004-05-15
1310934,ISERV,2004-05-15
1313456,ISERV,2004-05-15
1333511,ISERV,2004-05-15
1340923,ISERV,2004-05-15
1352297,ISERV,2004-05-15
316976,ISERV,2004-05-15
451252,ISERV,2004-05-15
840987,ISERV,2004-05-15
963279,ISERV,2004-05-15
1047152,ISERV,2004-05-15
1162237,ISERV,2004-05-15
1336848,ISERV,2004-05-15
1337861,ISERV,2004-05-15
1338885,ISERV,2004-05-15
1344285,ISERV,2004-05-15
1349069,ISERV,2004-05-15
1349239,ISERV,2004-05-15
1351286,ISERV,2004-05-15
1352441,ISERV,2004-05-15
1354239,ISERV,2004-05-15
1354850,ISERV,2004-05-15
1354963,ISERV,2004-05-15
1355151,ISERV,2004-05-15
48352,ISERV,2005-01-26
542563,ISERV,2005-01-26
1206006,ISERV,2005-01-26
722689,ISERV,2005-01-26
1350262,ISERV,2005-01-26
367861,ISERV,2002-12-21
480803,ISERV,2002-12-21
611555,ISERV,2002-12-21
1104818,ISERV,2002-12-21
1162159,ISERV,2002-12-21
1201602,ISERV,2002-12-21
1207374,ISERV,2002-12-21
1211359,ISERV,2002-12-21
1222460,ISERV,2002-12-21
1223128,ISERV,2002-12-21
123182,ISERV,2003-09-03
369692,ISERV,2003-09-03
1280507,ISERV,2003-09-03
1310099,ISERV,2005-01-27
1324908,ISERV,2007-03-06
51726,ISERV,2007-03-06
312679,ISERV,2007-03-06
403866,ISERV,2007-03-06
675685,ISERV,2007-03-06
1618465,ISERV,2007-03-06
1208934,ISERV,2003-09-04
1133749,ISERV,2003-09-04
498443,ISERV,2005-01-28
186077,ISERV,2005-01-28
724116,ISERV,2005-01-28
74254,ISERV,2005-10-11
30704,ISERV,2002-12-23
847324,ISERV,2003-09-05
1217192,ISERV,2003-09-05
629862,ISERV,2003-09-05
724256,ISERV,2004-05-18
1303805,ISERV,2004-05-18
242337,ISERV,2004-05-18
243097,ISERV,2004-05-18
262240,ISERV,2004-05-18
270362,ISERV,2004-05-18
277023,ISERV,2004-05-18
1065441,ISERV,2004-05-18
25090,ISERV,2005-01-29
101998,ISERV,2005-01-29
1205759,ISERV,2005-01-29
104998,ISERV,2005-01-29
1085761,ISERV,2005-01-29
1266981,ISERV,2005-01-29
471619,ISERV,2005-01-29
933489,ISERV,2005-01-29
1123638,ISERV,2005-01-29
1336552,ISERV,2005-01-29
125330,ISERV,2005-01-29
1509609,ISERV,2005-01-29
1496044,ISERV,2005-01-29
1517726,ISERV,2005-01-29
1520791,ISERV,2005-01-29
1523064,ISERV,2005-01-29
1523285,ISERV,2005-01-29
1524009,ISERV,2005-01-29
165256,ISERV,2002-12-24
13206,ISERV,2003-09-06
188632,ISERV,2003-09-06
409338,ISERV,2003-09-06
446623,ISERV,2003-09-06
120195,ISERV,2003-09-06
441011,ISERV,2003-09-06
138027,ISERV,2003-09-06
492647,ISERV,2003-09-06
676003,ISERV,2003-09-06
1015881,ISERV,2003-09-06
1185757,ISERV,2003-09-06
1239785,ISERV,2003-09-06
1239936,ISERV,2003-09-06
1274382,ISERV,2003-09-06
1275974,ISERV,2003-09-06
1280934,ISERV,2003-09-06
1284596,ISERV,2003-09-06
1285809,ISERV,2003-09-06
60190,ISERV,2003-09-06
1272234,ISERV,2003-09-06
1275638,ISERV,2003-09-06
1288009,ISERV,2003-09-06
1288013,ISERV,2003-09-06
1288347,ISERV,2003-09-06
1288920,ISERV,2003-09-06
1292389,ISERV,2003-09-06
1292392,ISERV,2003-09-06
1292648,ISERV,2003-09-06
1168623,ISERV,2004-05-19
279101,ISERV,2004-05-19
318819,ISERV,2004-05-19
320790,ISERV,2004-05-19
796543,ISERV,2004-05-19
1051093,ISERV,2004-05-19
1205506,ISERV,2004-05-19
1236844,ISERV,2004-05-19
386473,ISERV,2005-01-31
1349327,ISERV,2005-01-31
817057,ISERV,2005-01-31
940745,ISERV,2005-01-31
1270295,ISERV,2005-01-31
1522698,ISERV,2005-01-31
1522916,ISERV,2005-01-31
1525652,ISERV,2005-01-31
648024,ISERV,2003-09-08
1153644,ISERV,2003-09-08
559067,ISERV,2003-09-08
621537,ISERV,2003-09-08
1015087,ISERV,2003-09-08
261678,ISERV,2004-05-21
274670,ISERV,2004-05-21
1245448,ISERV,2004-05-21
251852,ISERV,2004-05-21
254310,ISERV,2004-05-21
255948,ISERV,2004-05-21
281348,ISERV,2004-05-21
340573,ISERV,2004-05-21
789336,ISERV,2004-05-21
1352092,ISERV,2004-05-21
934477,ISERV,2005-02-01
845771,ISERV,2005-02-01
615223,ISERV,2002-12-27
289323,ISERV,2003-09-09
612649,ISERV,2003-09-09
1136923,ISERV,2003-09-09
1134460,ISERV,2003-09-09
1275593,ISERV,2003-09-09
281473,ISERV,2004-05-22
409188,ISERV,2004-05-22
678430,ISERV,2004-05-22
422881,ISERV,2004-05-22
1187825,ISERV,2004-05-22
1138878,ISERV,2004-05-22
1280506,ISERV,2004-05-22
1287895,ISERV,2004-05-22
41632,ISERV,2004-05-22
42379,ISERV,2004-05-22
636836,ISERV,2004-05-22
1106331,ISERV,2004-05-22
1313381,ISERV,2004-05-22
1345070,ISERV,2004-05-22
290211,ISERV,2004-05-22
310705,ISERV,2004-05-22
691854,ISERV,2004-05-22
723402,ISERV,2004-05-22
840093,ISERV,2004-05-22
871968,ISERV,2004-05-22
1149787,ISERV,2004-05-22
1353538,ISERV,2004-05-22
1353913,ISERV,2004-05-22
1355874,ISERV,2004-05-22
1356433,ISERV,2004-05-22
1357027,ISERV,2004-05-22
1497278,ISERV,2005-02-02
92991,ISERV,2002-12-28
138307,ISERV,2002-12-28
332646,ISERV,2002-12-28
496850,ISERV,2002-12-28
615347,ISERV,2002-12-28
639365,ISERV,2002-12-28
1157343,ISERV,2002-12-28
1204258,ISERV,2002-12-28
1219841,ISERV,2002-12-28
1222375,ISERV,2002-12-28
1224901,ISERV,2002-12-28
689239,ISERV,2003-09-10
1198999,ISERV,2003-09-10
1268051,ISERV,2005-02-03
938423,ISERV,2007-03-13
1708090,ISERV,2007-03-13
563925,ISERV,2003-09-11
597411,ISERV,2003-09-11
1113249,ISERV,2003-09-11
1275108,ISERV,2004-05-24
460801,ISERV,2004-05-24
1346474,ISERV,2004-05-24
259025,ISERV,2004-05-24
491879,ISERV,2004-05-24
535235,ISERV,2004-05-24
1096666,ISERV,2004-05-24
1357118,ISERV,2004-05-24
572174,ISERV,2005-02-04
92817,ISERV,2005-02-04
541961,ISERV,2005-02-04
644857,ISERV,2005-02-04
1065816,ISERV,2005-10-18
1142353,ISERV,2002-12-30
1215018,ISERV,2002-12-30
1128351,ISERV,2003-09-12
1271847,ISERV,2003-09-12
341651,ISERV,2003-09-12
624166,ISERV,2004-05-25
1144700,ISERV,2004-05-25
20047,ISERV,2004-05-25
262709,ISERV,2004-05-25
778338,ISERV,2004-05-25
1129594,ISERV,2004-05-25
175221,ISERV,2005-02-05
553686,ISERV,2005-02-05
670010,ISERV,2005-02-05
31413,ISERV,2005-02-05
1041749,ISERV,2005-02-05
123928,ISERV,2005-02-05
535579,ISERV,2005-02-05
979955,ISERV,2005-02-05
1028474,ISERV,2005-02-05
1046672,ISERV,2005-02-05
1091612,ISERV,2005-02-05
1132318,ISERV,2005-02-05
1175923,ISERV,2005-02-05
1191813,ISERV,2005-02-05
1453018,ISERV,2005-02-05
1496570,ISERV,2005-02-05
436235,ISERV,2005-02-05
1176907,ISERV,2005-02-05
1307635,ISERV,2005-02-05
1321905,ISERV,2005-02-05
1349915,ISERV,2005-02-05
1454471,ISERV,2005-02-05
1516955,ISERV,2005-02-05
1528067,ISERV,2005-02-05
1225218,ISERV,2002-12-31
626917,ISERV,2003-09-13
1122703,ISERV,2003-09-13
116847,ISERV,2003-09-13
1174573,ISERV,2003-09-13
1264378,ISERV,2003-09-13
376571,ISERV,2003-09-13
1194689,ISERV,2003-09-13
1241815,ISERV,2003-09-13
1289671,ISERV,2003-09-13
1291483,ISERV,2003-09-13
1293829,ISERV,2003-09-13
1294699,ISERV,2003-09-13
523839,ISERV,2004-05-26
1302260,ISERV,2004-05-26
1355083,ISERV,2004-05-26
846635,ISERV,2007-03-16
1345328,ISERV,2004-05-27
494467,ISERV,2005-02-07
1268840,ISERV,2005-02-07
271428,ISERV,2005-02-07
962660,ISERV,2005-02-07
1460714,ISERV,2005-02-07
1052232,ISERV,2005-10-21
418699,ISERV,2006-07-04
454161,ISERV,2006-07-04
1634049,ISERV,2006-07-04
149127,ISERV,2003-01-02
555177,ISERV,2003-01-02
186356,ISERV,2003-09-15
1185899,ISERV,2003-09-15
983317,ISERV,2003-09-15
1262415,ISERV,2003-09-15
291097,ISERV,2004-05-28
308877,ISERV,2004-05-28
319184,ISERV,2004-05-28
340614,ISERV,2004-05-28
1435098,ISERV,2004-05-28
18656,ISERV,2005-02-08
42465,ISERV,2005-02-08
528535,ISERV,2005-02-08
531635,ISERV,2005-02-08
371920,ISERV,2005-02-08
741242,ISERV,2005-02-08
998023,ISERV,2005-02-08
1150004,ISERV,2005-02-08
1489214,ISERV,2005-02-08
1515904,ISERV,2005-02-08
502985,ISERV,2002-04-22
913034,ISERV,2003-09-16
1181714,ISERV,2003-09-16
1288573,ISERV,2003-09-16
116540,ISERV,2004-05-29
152006,ISERV,2004-05-29
630539,ISERV,2004-05-29
1109014,ISERV,2004-05-29
1137366,ISERV,2004-05-29
799846,ISERV,2004-05-29
862374,ISERV,2004-05-29
984216,ISERV,2004-05-29
1345233,ISERV,2004-05-29
1347848,ISERV,2004-05-29
1350025,ISERV,2004-05-29
436902,ISERV,2004-05-29
463617,ISERV,2004-05-29
584110,ISERV,2004-05-29
624828,ISERV,2004-05-29
1186916,ISERV,2004-05-29
1334161,ISERV,2004-05-29
1339382,ISERV,2004-05-29
1351079,ISERV,2004-05-29
1432774,ISERV,2004-05-29
1434340,ISERV,2004-05-29
1107346,ISERV,2005-02-09
1316767,ISERV,2005-02-09
1342596,ISERV,2005-02-09
1123804,ISERV,2005-02-09
1255147,ISERV,2005-02-09
1346753,ISERV,2005-02-09
262867,ISERV,2003-09-17
20470,ISERV,2003-09-17
220998,ISERV,2003-09-17
1129099,ISERV,2003-09-17
1213411,ISERV,2003-09-17
1330316,ISERV,2005-02-10
1334043,ISERV,2005-02-10
1478819,ISERV,2005-02-10
141091,ISERV,2005-10-24
188987,ISERV,2007-03-20
617560,ISERV,2003-09-18
55152,ISERV,2003-09-18
1524951,ISERV,2005-02-11
13617,ISERV,2005-10-25
450194,ISERV,2003-01-06
1217786,ISERV,2004-06-01
57435,ISERV,2004-06-01
787715,ISERV,2004-06-01
518267,ISERV,2005-02-12
217852,ISERV,2005-02-12
245579,ISERV,2005-02-12
302395,ISERV,2005-02-12
482508,ISERV,2005-02-12
1329176,ISERV,2005-02-12
1334010,ISERV,2005-02-12
1456843,ISERV,2005-02-12
1488424,ISERV,2005-02-12
1502060,ISERV,2005-02-12
232889,ISERV,2005-02-12
831813,ISERV,2005-02-12
1454353,ISERV,2005-02-12
1515122,ISERV,2005-02-12
1529755,ISERV,2005-02-12
1530639,ISERV,2005-02-12
1530821,ISERV,2005-02-12
127350,ISERV,2005-10-26
232040,ISERV,2003-01-07
1194336,ISERV,2003-01-07
1216857,ISERV,2003-01-07
113847,ISERV,2003-01-07
16051,ISERV,2003-09-20
39136,ISERV,2003-09-20
436286,ISERV,2003-09-20
30577,ISERV,2003-09-20
1012572,ISERV,2003-09-20
1130366,ISERV,2003-09-20
1202903,ISERV,2003-09-20
1260498,ISERV,2003-09-20
1264344,ISERV,2003-09-20
1255358,ISERV,2003-09-20
1266073,ISERV,2003-09-20
1292196,ISERV,2003-09-20
1299321,ISERV,2003-09-20
1099719,ISERV,2004-06-02
1327375,ISERV,2004-06-02
42438,ISERV,2004-06-02
632167,ISERV,2006-07-10
362453,ISERV,2003-01-08
1251554,ISERV,2004-06-03
1316609,ISERV,2004-06-03
404159,ISERV,2004-06-03
1445563,ISERV,2004-06-03
1445571,ISERV,2004-06-03
1445577,ISERV,2004-06-03
103856,ISERV,2005-02-14
342360,ISERV,2005-02-14
1168628,ISERV,2005-02-14
422494,ISERV,2005-02-14
427111,ISERV,2005-02-14
446659,ISERV,2005-02-14
1433117,ISERV,2005-02-14
253113,ISERV,2005-02-14
1124320,ISERV,2005-02-14
832717,ISERV,2006-07-11
359983,ISERV,2003-01-09
1107580,ISERV,2003-01-09
823884,ISERV,2003-09-22
1180874,ISERV,2003-09-22
678133,ISERV,2004-06-04
336442,ISERV,2004-06-04
1345664,ISERV,2004-06-04
214654,ISERV,2005-02-15
1316470,ISERV,2005-02-15
1347997,ISERV,2005-02-15
577534,ISERV,2005-02-15
1246399,ISERV,2005-02-15
327485,ISERV,2006-07-12
1104266,ISERV,2003-01-10
1280661,ISERV,2003-09-23
235755,ISERV,2004-06-05
382058,ISERV,2004-06-05
565301,ISERV,2004-06-05
688860,ISERV,2004-06-05
709596,ISERV,2004-06-05
1263779,ISERV,2004-06-05
100587,ISERV,2004-06-05
1171233,ISERV,2004-06-05
1229360,ISERV,2004-06-05
1289801,ISERV,2004-06-05
1300689,ISERV,2004-06-05
1328820,ISERV,2004-06-05
1339732,ISERV,2004-06-05
1348380,ISERV,2004-06-05
280979,ISERV,2004-06-05
381392,ISERV,2004-06-05
1342739,ISERV,2004-06-05
135514,ISERV,2003-01-11
197956,ISERV,2003-01-11
351980,ISERV,2003-01-11
585764,ISERV,2003-01-11
2644,ISERV,2003-01-11
221258,ISERV,2003-01-11
238991,ISERV,2003-01-11
427586,ISERV,2003-01-11
509823,ISERV,2003-01-11
674906,ISERV,2003-01-11
904079,ISERV,2003-01-11
924236,ISERV,2003-01-11
986781,ISERV,2003-01-11
1057164,ISERV,2003-01-11
1094386,ISERV,2003-01-11
1139306,ISERV,2003-01-11
1173186,ISERV,2003-01-11
1173949,ISERV,2003-01-11
1184638,ISERV,2003-01-11
1194843,ISERV,2003-01-11
1195517,ISERV,2003-01-11
1206470,ISERV,2003-01-11
1208596,ISERV,2003-01-11
1213772,ISERV,2003-01-11
1225487,ISERV,2003-01-11
1225745,ISERV,2003-01-11
1226712,ISERV,2003-01-11
1227917,ISERV,2003-01-11
1228180,ISERV,2003-01-11
1165018,ISERV,2003-09-24
338191,ISERV,2005-02-17
1147389,ISERV,2003-09-25
560684,ISERV,2003-09-25
1308401,ISERV,2003-09-25
1269898,ISERV,2004-06-07
276579,ISERV,2004-06-07
1006828,ISERV,2004-06-07
1316735,ISERV,2004-06-07
1353319,ISERV,2004-06-07
1356253,ISERV,2004-06-07
1356486,ISERV,2004-06-07
685723,ISERV,2005-02-18
463246,ISERV,2005-02-18
103018,ISERV,2005-11-01
1570848,ISERV,2005-11-01
1574024,ISERV,2005-11-01
526357,ISERV,2003-01-13
747947,ISERV,2003-01-13
756292,ISERV,2003-01-13
1218453,ISERV,2003-01-13
556109,ISERV,2003-09-26
530552,ISERV,2003-09-26
479479,ISERV,2004-06-08
707126,ISERV,2004-06-08
931334,ISERV,2004-06-08
1060221,ISERV,2004-06-08
1350911,ISERV,2004-06-08
1438612,ISERV,2004-06-08
920600,ISERV,2005-02-19
793424,ISERV,2005-02-19
1125347,ISERV,2005-02-19
90256,ISERV,2005-02-19
173516,ISERV,2005-02-19
432318,ISERV,2005-02-19
645943,ISERV,2005-02-19
1029782,ISERV,2005-02-19
1333578,ISERV,2005-02-19
1433223,ISERV,2005-02-19
936046,ISERV,2005-02-19
1456342,ISERV,2005-02-19
1492339,ISERV,2005-02-19
1528957,ISERV,2005-02-19
1532083,ISERV,2005-02-19
1532917,ISERV,2005-02-19
1533391,ISERV,2005-02-19
1534077,ISERV,2005-02-19
652581,ISERV,2003-01-14
1191111,ISERV,2003-01-14
457128,ISERV,2003-09-27
210674,ISERV,2003-09-27
428248,ISERV,2003-09-27
895029,ISERV,2003-09-27
959634,ISERV,2003-09-27
1111639,ISERV,2003-09-27
1249031,ISERV,2003-09-27
1286389,ISERV,2003-09-27
405204,ISERV,2003-09-27
433458,ISERV,2003-09-27
1159864,ISERV,2003-09-27
1189243,ISERV,2003-09-27
1295909,ISERV,2003-09-27
1297320,ISERV,2003-09-27
1302223,ISERV,2003-09-27
1302248,ISERV,2003-09-27
182741,ISERV,2004-06-09
1285226,ISERV,2004-06-09
736545,ISERV,2004-06-09
1176379,ISERV,2004-06-09
637164,ISERV,2003-01-15
1175499,ISERV,2003-01-15
885918,ISERV,2004-06-10
1176349,ISERV,2004-06-10
1345766,ISERV,2004-06-10
1435150,ISERV,2004-06-10
1440299,ISERV,2004-06-10
448565,ISERV,2005-02-21
14727,ISERV,2005-02-21
194618,ISERV,2005-02-21
1035185,ISERV,2005-02-21
1538725,ISERV,2005-02-21
1538740,ISERV,2005-02-21
1538753,ISERV,2005-02-21
1104066,ISERV,2006-07-18
160696,ISERV,2003-01-16
100677,ISERV,2003-01-16
1183035,ISERV,2003-01-16
561557,ISERV,2003-09-29
566765,ISERV,2003-09-29
747425,ISERV,2004-06-11
391185,ISERV,2005-02-22
883617,ISERV,2005-02-22
249614,ISERV,2005-02-22
1539452,ISERV,2005-02-22
634796,ISERV,2002-05-06
213649,ISERV,2003-01-17
326661,ISERV,2003-01-17
1215804,ISERV,2003-01-17
651661,ISERV,2003-09-30
677182,ISERV,2003-09-30
1272201,ISERV,2004-06-12
569294,ISERV,2004-06-12
681853,ISERV,2004-06-12
1223534,ISERV,2004-06-12
1263315,ISERV,2004-06-12
1333871,ISERV,2004-06-12
26304,ISERV,2004-06-12
119777,ISERV,2004-06-12
133307,ISERV,2004-06-12
339692,ISERV,2004-06-12
382122,ISERV,2004-06-12
477385,ISERV,2004-06-12
644736,ISERV,2004-06-12
836840,ISERV,2004-06-12
1134211,ISERV,2004-06-12
1176865,ISERV,2004-06-12
1177821,ISERV,2004-06-12
1178450,ISERV,2004-06-12
1262580,ISERV,2004-06-12
1356606,ISERV,2004-06-12
1440393,ISERV,2004-06-12
1441003,ISERV,2004-06-12
1441043,ISERV,2004-06-12
1441161,ISERV,2004-06-12
718693,ISERV,2005-02-23
1495908,ISERV,2005-02-23
1543521,ISERV,2005-02-23
1213968,ISERV,2006-07-20
91987,ISERV,2003-01-18
566779,ISERV,2003-01-18
1124715,ISERV,2003-01-18
393056,ISERV,2003-01-18
553544,ISERV,2003-01-18
923050,ISERV,2003-01-18
959180,ISERV,2003-01-18
1125414,ISERV,2003-01-18
1181343,ISERV,2003-01-18
1214010,ISERV,2003-01-18
1228553,ISERV,2003-01-18
894502,ISERV,2003-10-01
186193,ISERV,2003-10-01
1271930,ISERV,2003-10-01
493875,ISERV,2005-02-24
723297,ISERV,2002-05-08
507175,ISERV,2003-10-02
316730,ISERV,2004-06-14
1349890,ISERV,2004-06-14
1352566,ISERV,2004-06-14
1352878,ISERV,2004-06-14
24062,ISERV,2004-06-14
182782,ISERV,2005-02-25
1523641,ISERV,2005-02-25
371758,ISERV,2003-01-20
123256,ISERV,2003-01-20
193242,ISERV,2003-01-20
1190710,ISERV,2003-01-20
533034,ISERV,2003-01-20
1248949,ISERV,2003-10-03
334645,ISERV,2003-10-03
1031094,ISERV,2003-10-03
1026640,ISERV,2004-06-15
1352908,ISERV,2004-06-15
1355514,ISERV,2004-06-15
183949,ISERV,2005-02-26
468943,ISERV,2005-02-26
208841,ISERV,2005-02-26
844702,ISERV,2005-02-26
1513434,ISERV,2005-02-26
91928,ISERV,2005-02-26
889831,ISERV,2005-02-26
1269335,ISERV,2005-02-26
1514239,ISERV,2005-02-26
1525807,ISERV,2005-02-26
1529968,ISERV,2005-02-26
1531116,ISERV,2005-02-26
1534663,ISERV,2005-02-26
1536600,ISERV,2005-02-26
389975,ISERV,2003-01-21
1173111,ISERV,2003-01-21
69883,ISERV,2003-10-04
177143,ISERV,2003-10-04
486855,ISERV,2003-10-04
663654,ISERV,2003-10-04
788853,ISERV,2003-10-04
1079586,ISERV,2003-10-04
266522,ISERV,2003-10-04
655430,ISERV,2003-10-04
732048,ISERV,2003-10-04
806267,ISERV,2003-10-04
1281352,ISERV,2003-10-04
1282321,ISERV,2003-10-04
1291673,ISERV,2003-10-04
1298540,ISERV,2003-10-04
1303678,ISERV,2003-10-04
1303726,ISERV,2003-10-04
789927,ISERV,2004-06-16
609229,ISERV,2003-01-22
1147264,ISERV,2003-01-22
839230,ISERV,2004-06-17
212401,ISERV,2005-02-28
399395,ISERV,2005-02-28
1458887,ISERV,2005-02-28
1192252,ISERV,2005-02-28
1522566,ISERV,2005-02-28
1524386,ISERV,2005-02-28
503459,ISERV,2006-07-25
1273938,ISERV,2006-07-25
1220796,ISERV,2003-01-23
25642,ISERV,2003-10-06
335656,ISERV,2003-10-06
73464,ISERV,2003-10-06
320498,ISERV,2003-10-06
382621,ISERV,2003-10-06
825269,ISERV,2003-10-06
1508676,ISERV,2005-03-01
89526,ISERV,2002-05-13
325829,ISERV,2002-05-13
1160577,ISERV,2002-05-13
1089281,ISERV,2003-01-24
39205,ISERV,2003-10-07
1238876,ISERV,2003-10-07
24684,ISERV,2004-06-19
1182589,ISERV,2004-06-19
1217189,ISERV,2004-06-19
303249,ISERV,2004-06-19
449617,ISERV,2004-06-19
1152689,ISERV,2004-06-19
1268352,ISERV,2004-06-19
1295195,ISERV,2004-06-19
1346564,ISERV,2004-06-19
73027,ISERV,2004-06-19
187392,ISERV,2004-06-19
791214,ISERV,2004-06-19
1125288,ISERV,2004-06-19
1139513,ISERV,2004-06-19
1155289,ISERV,2004-06-19
1324203,ISERV,2004-06-19
1355808,ISERV,2004-06-19
1356016,ISERV,2004-06-19
1356608,ISERV,2004-06-19
1436731,ISERV,2004-06-19
1442448,ISERV,2004-06-19
57059,ISERV,2005-03-02
80218,ISERV,2005-03-02
607185,ISERV,2005-03-02
1475979,ISERV,2005-03-02
1111621,ISERV,2003-01-25
106335,ISERV,2003-01-25
450098,ISERV,2003-01-25
481730,ISERV,2003-01-25
1117580,ISERV,2003-01-25
1207542,ISERV,2003-01-25
1220839,ISERV,2003-01-25
94987,ISERV,2003-01-25
957069,ISERV,2003-01-25
1229030,ISERV,2003-01-25
1230562,ISERV,2003-01-25
448979,ISERV,2003-10-08
1298607,ISERV,2003-10-08
165196,ISERV,2005-03-03
156397,ISERV,2005-03-03
239327,ISERV,2003-10-09
1247947,ISERV,2003-10-09
1289002,ISERV,2003-10-09
1212671,ISERV,2004-06-21
128684,ISERV,2004-06-21
231134,ISERV,2004-06-21
518357,ISERV,2004-06-21
715855,ISERV,2004-06-21
847559,ISERV,2004-06-21
1090087,ISERV,2004-06-21
1266556,ISERV,2004-06-21
1328782,ISERV,2004-06-21
1353416,ISERV,2004-06-21
1031541,ISERV,2005-11-15
498988,ISERV,2002-05-16
340290,ISERV,2003-01-27
654338,ISERV,2003-01-27
537069,ISERV,2003-10-10
604654,ISERV,2004-06-22
201098,ISERV,2005-03-05
1171698,ISERV,2005-03-05
35605,ISERV,2005-03-05
1264833,ISERV,2005-03-05
442178,ISERV,2005-03-05
552143,ISERV,2005-03-05
1062686,ISERV,2005-03-05
1192783,ISERV,2005-03-05
1519407,ISERV,2005-03-05
153595,ISERV,2005-03-05
513991,ISERV,2005-03-05
686945,ISERV,2005-03-05
976642,ISERV,2005-03-05
1510532,ISERV,2005-03-05
1516053,ISERV,2005-03-05
1527373,ISERV,2005-03-05
1538594,ISERV,2005-03-05
1538728,ISERV,2005-03-05
1539248,ISERV,2005-03-05
725848,ISERV,2003-01-28
1162333,ISERV,2003-01-28
1121555,ISERV,2003-10-11
234764,ISERV,2003-10-11
245786,ISERV,2003-10-11
135292,ISERV,2003-10-11
181617,ISERV,2003-10-11
